date,svxy,vixy,vix,vix3m,vvix,roll_yield,vx_convexity,vx1,spx,iwm,xlp,xly,qqq,vug,vtv,pce_tv,skew
2012-03-14,19.38,371280.0,15.31,20.75,106.63,0.19363636363636366,0.8999999999999986,21.75,1394.28,68.1215,23.5283,37.8123,59.062,61.4124,41.1491,0.923,118.82
2012-03-15,19.72,376000.0,15.42,20.54,108.42,0.1903125,0.8099999999999987,21.54,1402.6,68.8351,23.5702,37.9824,59.2754,61.6742,41.4206,0.311,136.51
2012-03-16,19.935,341600.0,14.47,20.37,105.78,0.22709677419354843,1.1899999999999977,21.53,1404.17,68.8683,23.5338,37.8519,59.269,61.7789,41.4706,0.775,138.43
2012-03-19,21.2975,328800.0,15.04,19.94,106.49,0.17857142857142863,1.3500000000000014,20.1,1409.75,69.4325,23.5689,38.0396,59.6787,62.0931,41.5756,0.827,128.85
2012-03-20,22.005,369040.0,15.58,19.96,109.38,0.13407407407407404,1.3200000000000038,19.2,1405.52,68.8268,23.5596,38.1249,59.7856,61.84,41.4563,0.883,128.02
2012-03-21,23.2475,314960.0,15.13,19.25,104.65,0.11961538461538467,1.0500000000000007,18.3,1402.89,68.8932,23.5829,38.1248,59.8301,61.8226,41.3706,0.841,124.6
2012-03-22,23.0675,291120.0,15.57,19.55,102.53,0.11159999999999996,1.4100000000000037,18.5,1392.78,68.2045,23.5969,38.0055,59.7767,61.4386,40.992,1.07,121.17
2012-03-23,24.465,268000.0,14.82,18.64,98.6,0.09083333333333332,1.0600000000000058,17.13,1397.11,68.9381,23.667,38.1164,59.6698,61.5608,41.1864,1.022,122.98
2012-03-26,26.845,294400.0,14.26,17.43,96.08,0.05761904761904766,0.7099999999999973,15.64,1416.51,70.3281,23.7976,38.705,60.7654,62.483,41.718,0.771,118.02
2012-03-27,23.96,297280.0,15.59,18.57,101.15,0.09650000000000007,0.35999999999999943,17.42,1412.52,69.6456,23.8703,38.6368,60.7387,62.343,41.5384,0.654,121.13
2012-03-28,23.77,292320.0,15.47,18.79,102.74,0.11578947368421048,0.2600000000000051,17.72,1405.54,69.2045,23.7677,38.2017,60.5605,62.0193,41.3302,1.032,121.61
2012-03-29,24.0625,284480.0,15.48,18.84,101.94,0.10222222222222221,0.6500000000000021,17.3,1403.28,69.1379,23.8283,38.3041,60.2666,61.9668,41.251,1.017,121.69
2012-03-30,24.695,286080.0,15.5,18.61,100.28,0.08235294117647061,0.3999999999999986,17.0,1408.47,68.9465,23.9264,38.4747,60.231,62.0805,41.445,0.855,124.97
2012-04-02,24.65,292000.0,15.64,18.46,100.38,0.08928571428571441,0.23000000000000043,16.85,1419.04,69.7954,24.045,38.5093,60.7565,62.6668,41.7036,0.673,123.13
2012-04-03,24.2275,299600.0,15.66,18.81,98.37,0.12153846153846154,0.2699999999999996,17.3,1413.38,69.2211,23.9755,38.5003,60.703,62.6318,41.4737,0.851,123.84
2012-04-04,23.395,306320.0,16.44,19.45,99.73,0.11916666666666664,0.40000000000000213,17.85,1398.96,67.9977,23.8984,38.0737,59.9014,62.168,41.0821,0.514,121.0
2012-04-05,23.025,324000.0,16.7,19.82,99.47,0.1418181818181817,0.519999999999996,18.25,1398.08,67.8478,23.8703,38.3979,60.3289,62.0718,40.9132,0.894,120.61
2012-04-09,21.55,341520.0,18.81,21.21,104.59,0.07514285714285711,0.019999999999999574,21.3,1382.2,66.6327,23.639,38.0482,59.7411,61.433,40.4318,1.02,119.05
2012-04-10,20.4375,341440.0,20.39,22.62,109.13,0.06735294117647056,0.2100000000000044,22.79,1358.59,65.5175,23.4427,37.3316,59.1086,60.4093,39.7061,0.968,119.27
2012-04-11,20.3825,307200.0,20.02,22.47,111.19,0.07181818181818185,0.25,22.35,1368.71,66.1666,23.5198,37.468,59.2422,60.8118,40.0366,1.048,118.43
2012-04-12,22.425,328240.0,17.2,20.25,104.27,0.08281249999999996,0.4400000000000013,20.25,1387.57,67.232,23.5589,38.1079,59.8658,61.6955,40.6258,0.851,119.87
2012-04-13,20.475,325360.0,19.55,21.99,110.76,0.07129032258064519,0.6299999999999955,21.6,1370.26,66.0834,23.611,37.8794,58.9216,61.0218,40.0869,0.915,118.19
2012-04-16,20.9675,305600.0,19.55,22.04,110.97,0.05928571428571429,0.41999999999999815,21.35,1369.57,66.2582,23.7161,37.834,58.2624,60.6018,40.245,1.125,116.67
2012-04-17,22.265,312960.0,18.46,20.85,107.01,0.062222222222222213,0.49999999999999645,20.1,1390.78,67.232,23.9475,38.3143,59.4382,61.6255,40.7552,0.915,121.83
2012-04-18,21.695,311920.0,18.64,21.12,106.06,0.07730769230769223,0.5,20.45,1385.14,66.5828,23.9264,38.3126,59.1354,61.4855,40.5899,0.859,119.5
2012-04-19,21.7625,301440.0,18.36,21.23,103.96,0.08679999999999993,0.600000000000005,20.49,1376.92,66.383,23.8283,38.014,58.8414,61.0655,40.4246,1.008,117.6
